# data_column_name,cf_standard_name,long_name,imos_vocabulary_name,unit_name,unit_short_name,,,,,,,,,,,,,,,,,,,,,,,,
# abundance,number_concentration_of_biological_taxon_in_sea_water,taxonomic level abundance,Abundance of biota,,,,,,,,,,,,,,,,,,,,,,,,,,
# area,,state/territory where the survey was conducted,,,,,,,,,,,,,,,,,,,,,,,,,,,
# avg_rugosity,,average roughness of the floor surface,,,,,,,,,,,,,,,,,,,,,,,,,,,
# biomass,,estimated biomass,,Grams,g,,,,,,,,,,,,,,,,,,,,,,,,
# block,,number of the block ,,,,,,,,,,,,,,,,,,,,,,,,,,,
# category,,sub-class of the annotation schema,,,,,,,,,,,,,,,,,,,,,,,,,,,
# class,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,,,,,,,,,,,,,,,,,,,,,,,,,
# common_class_name,,common name of the taxonomic rank,,,,,,,,,,,,,,,,,,,,,,,,,,,
# common_family_name,,common name of the taxonomic rank,,,,,,,,,,,,,,,,,,,,,,,,,,,
# common_name,,common name of the taxonomic rank,,,,,,,,,,,,,,,,,,,,,,,,,,,
# common_phylum_name,,common name of the taxonomic rank,,,,,,,,,,,,,,,,,,,,,,,,,,,
# country,,country where the survey was conducted,,,,,,,,,,,,,,,,,,,,,,,,,,,
# currents,,currents index,,,,,,,,,,,,,,,,,,,,,,,,,,,
# depth,depth,,Depth below surface of the water body,Metres,m                                                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,
# direction,,compass direction,True bearing,,,,,,,,,,,,,,,,,,,,,,,,,,
# ecoregion,,ecological region where the survey was conducted,,,,,,,,,,,,,,,,,,,,,,,,,,,
# family,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,,,,,,,,,,,,,,,,,,,,,,,,,
# frequency,,rarity index frequency of the species,,,,,,,,,,,,,,,,,,,,,,,,,,,
# genus,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,,,,,,,,,,,,,,,,,,,,,,,,,
# has pqs catalogued in db,,survey has Photos Quadrats catalogued in database,,,,,,,,,,,,,,,,,,,,,,,,,,,
# has pq scores in db,,survey has Photo Quadrat scores in database,,,,,,,,,,,,,,,,,,,,,,,,,,,
# has rugosity scores in db,,survey has rugosity scores in database,,,,,,,,,,,,,,,,,,,,,,,,,,,
# hour,time,local time of sample collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
# latest surveydate for site,,latest survey date at the site,,,,,,,,,,,,,,,,,,,,,,,,,,,
# latitude,latitude,,Latitude north,Degrees,deg                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,
# lat_zone,,latitudinal zone (eg. tropical/temperate/polar),,,,,,,,,,,,,,,,,,,,,,,,,,,
# location,,city/council where the survey was conducted,,,,,,,,,,,,,,,,,,,,,,,,,,,
# longitude,longitude,,Longitude east,Degrees,deg                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,
# major_category,,class of the annotation schema,,,,,,,,,,,,,,,,,,,,,,,,,,,
# max_length,,maximum length of the species,,Centimetres,cm,,,,,,,,,,,,,,,,,,,,,,,,
# max_rugosity,,maximum roughness of the floor surface,,,,,,,,,,,,,,,,,,,,,,,,,,,
# method,,identifier for method applied to collect the observation,,,,,,,,,,,,,,,,,,,,,,,,,,,
# methods,,list of methods applied to collect the survey observations,,,,,,,,,,,,,,,,,,,,,,,,,,,
# mpa,,Marine Protected Area,,,,,,,,,,,,,,,,,,,,,,,,,,,
# num_points,,number of points associated to the observed item,,,,,,,,,,,,,,,,,,,,,,,,,,,
# old_site_codes,,previous codes of the site, now updated to [site_code],,,,,,,,,,,,,,,,,,,,,,,,,,
# order,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,,,,,,,,,,,,,,,,,,,,,,,,,
# percent_cover,,percentage of the surface covered by the observed item,,Percent,%                                                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,
# phylum,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,,,,,,,,,,,,,,,,,,,,,,,,,
# pq_zip_url,,url for the Photo Quadrat zip file,,,,,,,,,,,,,,,,,,,,,,,,,,,
# program,,acronym identifying the program(s) - RLS or ATRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
# programs,,acronym identifying the program(s) - RLS or ATRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
# province,,ecological province where the survey was collected,,,,,,,,,,,,,,,,,,,,,,,,,,,
# quadrat,,Quadrat number,,,,,,,,,,,,,,,,,,,,,,,,,,,
# range,,rarity index range of the species,,Kilometres,km,,,,,,,,,,,,,,,,,,,,,,,,
# realm,,realm where the survey was conducted,,,,,,,,,,,,,,,,,,,,,,,,,,,
# recorded_species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,,,,,,,,,,,,,,,,,,,,,,,,,
# relief,,relief index,,,,,,,,,,,,,,,,,,,,,,,,,,,
# reporting_name,,reporting name for the observed species,,,,,,,,,,,,,,,,,,,,,,,,,,,
# resolution,,annotation schema,,,,,,,,,,,,,,,,,,,,,,,,,,,
# site_code,,code for the survey site,,,,,,,,,,,,,,,,,,,,,,,,,,,
# site_name,,name of the survey site,,,,,,,,,,,,,,,,,,,,,,,,,,,
# size_class,,size class,,Centimetres,cm,,,,,,,,,,,,,,,,,,,,,,,,
# slope,,slope index,,,,,,,,,,,,,,,,,,,,,,,,,,,
# species_id,,species identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,
# species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,,,,,,,,,,,,,,,,,,,,,,,,,
# superseded_ids,,species identifier of the superseded species,,,,,,,,,,,,,,,,,,,,,,,,,,,
# superseded_names,,name of the superseded species,,,,,,,,,,,,,,,,,,,,,,,,,,,
# surface,,type of substrate,,,,,,,,,,,,,,,,,,,,,,,,,,,
# survey_date,,local date,,Date,yyyy-mm-dd,,,,,,,,,,,,,,,,,,,,,,,,
# survey_id,,survey identification number,,,,,,,,,,,,,,,,,,,,,,,,,,,
# survey_latitude,latitude,,Latitude north,Degrees,deg                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,
# survey_longitude,longitude,,Longitude east,Degrees,deg                                                                                                           ,,,,,,,,,,,,,,,,,,,,,,,,
# survey_notes,,additional notes about the survey,,,,,,,,,,,,,,,,,,,,,,,,,,,
# taxon,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,,,,,,,,,,,,,,,,,,,,,,,,,
# total,,total number of observations,,,,,,,,,,,,,,,,,,,,,,,,,,,
# total_points,,total number of point counted in the Quadrat,,,,,,,,,,,,,,,,,,,,,,,,,,,
# visibility,,the distance in water at which something can be seen,,Metres,m                                                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,
# wave_exposure,,wave exposure index,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_510b,923400136,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,British Columbia,BMSC8,Baeria Rocks North Island Northside,48.96,-125.15,2021-04-29,9,RLS,6,15:20:00,48.96,-125.15,0,0,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,62.5,1,2332.172,POINT (-125.15 48.96)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_510c,923400136,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,British Columbia,BMSC8,Baeria Rocks North Island Northside,48.96,-125.15,2021-04-29,9,RLS,6,15:20:00,48.96,-125.15,0,0,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos stelleri,Hexagrammos stelleri,15,1,62.2664,POINT (-125.15 48.96)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_510d,923400137,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,British Columbia,BMSC7,Baeria Rocks North Island Southside,48.95,-125.15,2021-04-29,5,RLS,6,13:10:00,48.95,-125.15,0,0,Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra acutifrons,Scyra acutifrons,0,1,,POINT (-125.15 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_510e,923400137,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,British Columbia,BMSC7,Baeria Rocks North Island Southside,48.95,-125.15,2021-04-29,5,RLS,6,13:10:00,48.95,-125.15,0,0,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae,Aulorhynchus flavidus,Aulorhynchus flavidus,12.5,30,389.0884,POINT (-125.15 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_510f,923400137,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,British Columbia,BMSC7,Baeria Rocks North Island Southside,48.95,-125.15,2021-04-29,5,RLS,6,13:10:00,48.95,-125.15,0,0,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias troschelii,Evasterias troschelii,0,1,,POINT (-125.15 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5110,923400137,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,British Columbia,BMSC7,Baeria Rocks North Island Southside,48.95,-125.15,2021-04-29,5,RLS,6,13:10:00,48.95,-125.15,0,0,Echinodermata,Asteroidea,Forcipulatida,Pycnopodiidae,Pycnopodia helianthoides,Pycnopodia helianthoides,5,1,,POINT (-125.15 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5111,923400154,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC6,Baeria Rocks South Island,48.95,-125.16,2021-04-29,7,RLS,8,10:30:00,48.95,-125.16,0,0,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes emphaeus,Sebastes emphaeus,12.5,2,100.3761,POINT (-125.16 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5112,923400154,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC6,Baeria Rocks South Island,48.95,-125.16,2021-04-29,7,RLS,8,10:30:00,48.95,-125.16,0,0,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys ocellatus,Anarrhichthys ocellatus,62.5,1,1507.1172,POINT (-125.16 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5113,923400154,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC6,Baeria Rocks South Island,48.95,-125.16,2021-04-29,7,RLS,8,10:30:00,48.95,-125.16,0,0,Chordata,Actinopterygii,Perciformes,Hexagrammidae,Hexagrammos decagrammus,Hexagrammos decagrammus,20,1,150.0203,POINT (-125.16 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5114,923400154,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC6,Baeria Rocks South Island,48.95,-125.16,2021-04-29,7,RLS,8,10:30:00,48.95,-125.16,0,0,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,40,1,572.0118,POINT (-125.16 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5115,923400154,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC6,Baeria Rocks South Island,48.95,-125.16,2021-04-29,7,RLS,8,10:30:00,48.95,-125.16,0,0,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon elongatus,Ophiodon elongatus,75,1,2133.8857,POINT (-125.16 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5116,923400154,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC6,Baeria Rocks South Island,48.95,-125.16,2021-04-29,7,RLS,8,10:30:00,48.95,-125.16,0,0,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon elongatus,Ophiodon elongatus,100,1,5247.5923,POINT (-125.16 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5117,923400154,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC6,Baeria Rocks South Island,48.95,-125.16,2021-04-29,7,RLS,8,10:30:00,48.95,-125.16,0,0,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes nebulosus,Sebastes nebulosus,20,2,325.4514,POINT (-125.16 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5118,923400154,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver,BMSC6,Baeria Rocks South Island,48.95,-125.16,2021-04-29,7,RLS,8,10:30:00,48.95,-125.16,0,0,Chordata,Mammalia,Carnivora,Otariidae,Eumetopias jubatus,Eumetopias jubatus,150,1,,POINT (-125.16 48.95)
ep_m0_off_transect_sighting_public_data.fid--54e1ae22_188f8a6ac57_5119,923401186,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,British Columbia,BMSC8,Baeria Rocks North Island Northside,48.96,-125.15,2022-04-28,6,RLS,3,14:25:00,48.96,-125.15,0,0,Chordata,Mammalia,Carnivora,Otariidae,Zalophus californianus,Zalophus californianus,0,1,,POINT (-125.15 48.96)
